Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres_01,Capacity_acrefeet_01,Area_acres_int,Capacity_acrefeet_int,Area_percent_dif,Capacity_percent_dif
3700.62,3697.71,157622.19,24799468.75,157657.6,24803276.44,0.02,0.02
3700.63,3697.72,157628.59,24801008.06,157664.37,24804852.67,0.02,0.02
3700.64,3697.73,157635.27,24802585.92,157671.14,24806428.9,0.02,0.02
3700.65,3697.74,157641.96,24804163.85,157677.92,24808005.13,0.02,0.02
3700.66,3697.75,157648.61,24805741.84,157684.69,24809581.35,0.02,0.02
3700.67,3697.76,157655.27,24807319.9,157691.46,24811157.58,0.02,0.02
3700.68,3697.77,157662.01,24808898.03,157698.24,24812733.81,0.02,0.02
3700.69,3697.78,157668.66,24810476.22,157705.01,24814310.04,0.02,0.02
3700.7,3697.79,157675.38,24812054.48,157711.78,24815886.27,0.02,0.02
3700.71,3697.8,157682.15,24813632.81,157718.56,24817462.49,0.02,0.02
3700.72,3697.81,157688.94,24815211.21,157725.33,24819038.72,0.02,0.02
3700.73,3697.82,157695.72,24816789.67,157732.1,24820614.95,0.02,0.02
3700.74,3697.83,157702.44,24818368.2,157738.88,24822191.18,0.02,0.02
3700.75,3697.84,157713.76,24819946.84,157745.65,24823767.4,0.02,0.02
3700.76,3697.85,157720.45,24821525.55,157752.42,24825343.63,0.02,0.02
3700.77,3697.86,157727.16,24823104.33,157759.2,24826919.86,0.02,0.02
3700.78,3697.87,157733.91,24824683.17,157765.97,24828496.09,0.02,0.02
3700.79,3697.88,157740.67,24826262.09,157772.79,24830072.88,0.02,0.02
3700.8,3697.89,157747.43,24827841.07,157779.74,24831651.37,0.02,0.02
3700.81,3697.9,157754.19,24829420.12,157786.69,24833229.85,0.02,0.02
3700.82,3697.91,157760.95,24830999.23,157793.63,24834808.34,0.02,0.02
3700.83,3697.92,157767.69,24832578.42,157800.58,24836386.83,0.02,0.02
3700.84,3697.93,157774.39,24834157.67,157807.53,24837965.32,0.02,0.02
3700.85,3697.94,157781.21,24835736.99,157814.48,24839543.81,0.02,0.02
3700.86,3697.95,157788.09,24837316.38,157821.43,24841122.3,0.02,0.02
3700.87,3697.96,157794.8,24838895.83,157828.38,24842700.79,0.02,0.02
3700.88,3697.97,157801.39,24840436.83,157835.33,24844279.28,0.02,0.02
3700.89,3697.98,157808.21,24842016.42,157842.28,24845857.77,0.02,0.02
3700.9,3697.99,157815.05,24843596.08,157849.23,24847436.25,0.02,0.02
3700.91,3698,157821.92,24845175.81,157856.18,24849014.74,0.02,0.02
3700.92,3698.01,157828.73,24846755.6,157863.12,24850593.23,0.02,0.02
3700.93,3698.02,157835.54,24848335.47,157870.07,24852171.72,0.02,0.02
3700.94,3698.03,157842.42,24849915.4,157877.02,24853750.21,0.02,0.02
3700.95,3698.04,157849.36,24851495.4,157883.97,24855328.7,0.02,0.02
3700.96,3698.05,157856.2,24853075.47,157890.92,24856907.19,0.02,0.02
3700.97,3698.06,157863,24854655.61,157897.87,24858485.68,0.02,0.02
3700.98,3698.07,157869.9,24856235.82,157904.82,24860064.17,0.02,0.02
3700.99,3698.08,157876.8,24857816.09,157911.77,24861642.66,0.02,0.02
3701,3698.09,157883.66,24859396.44,157918.72,24863221.14,0.02,0.02
3701.01,3698.1,157890.49,24860976.85,157925.67,24864799.63,0.02,0.02
3701.02,3698.11,157897.3,24862557.33,157932.62,24866378.12,0.02,0.02
3701.03,3698.12,157904.14,24864137.88,157939.56,24867956.61,0.02,0.02
3701.04,3698.13,157911.11,24865718.5,157946.51,24869535.1,0.02,0.02
3701.05,3698.14,157917.92,24867299.19,157953.46,24871113.59,0.02,0.02
3701.06,3698.15,157924.73,24868879.95,157960.41,24872692.08,0.02,0.02
3701.07,3698.16,157931.64,24870460.77,157967.36,24874270.57,0.02,0.02
3701.08,3698.17,157938.63,24872041.67,157974.31,24875849.06,0.02,0.02
3701.09,3698.18,157945.51,24873622.63,157981.26,24877427.54,0.02,0.02
3701.1,3698.19,157952.4,24875203.67,157988.21,24879006.03,0.02,0.02
3701.11,3698.2,157959.29,24876784.77,157995.16,24880584.52,0.02,0.02
3701.12,3698.21,157966.21,24878365.94,158002.09,24882164,0.02,0.02
3701.13,3698.22,157973.09,24879908.61,158008.99,24883744.74,0.02,0.02
3701.14,3698.23,157980,24881489.92,158015.9,24885325.49,0.02,0.02
3701.15,3698.24,157986.94,24883071.3,158022.81,24886906.23,0.02,0.02
3701.16,3698.25,157993.74,24884652.75,158029.71,24888486.97,0.02,0.02
3701.17,3698.26,158000.58,24886234.27,158036.62,24890067.71,0.02,0.02
3701.18,3698.27,158007.47,24887815.85,158043.53,24891648.45,0.02,0.02
3701.19,3698.28,158014.35,24889397.51,158050.43,24893229.2,0.02,0.02
3701.2,3698.29,158021.28,24890979.23,158057.34,24894809.94,0.02,0.02
3701.21,3698.3,158028.29,24892561.02,158064.25,24896390.68,0.02,0.02
3701.22,3698.31,158035.21,24894142.89,158071.15,24897971.42,0.02,0.02
3701.23,3698.32,158042.02,24895724.82,158078.06,24899552.16,0.02,0.02
3701.24,3698.33,158048.88,24897306.82,158084.97,24901132.9,0.02,0.02
3701.25,3698.34,158055.8,24898888.89,158091.87,24902713.65,0.02,0.02
3701.26,3698.35,158062.66,24900471.02,158098.78,24904294.39,0.02,0.02
3701.27,3698.36,158069.59,24902053.23,158105.68,24905875.13,0.02,0.02
3701.28,3698.37,158076.45,24903635.5,158112.59,24907455.87,0.02,0.02
3701.29,3698.38,158083.35,24905217.85,158119.5,24909036.61,0.02,0.02
3701.3,3698.39,158090.22,24906800.26,158126.4,24910617.36,0.02,0.02
3701.31,3698.4,158097.12,24908382.75,158133.31,24912198.1,0.02,0.02
3701.32,3698.41,158103.9,24909965.3,158140.22,24913778.84,0.02,0.02
3701.33,3698.42,158110.69,24911547.91,158147.12,24915359.58,0.02,0.02
3701.34,3698.43,158117.6,24913130.6,158154.03,24916940.32,0.02,0.02
3701.35,3698.44,158124.37,24914713.36,158160.94,24918521.07,0.02,0.02
3701.36,3698.45,158131.26,24916296.18,158167.84,24920101.81,0.02,0.02
3701.37,3698.46,158138.12,24917879.07,158174.75,24921682.55,0.02,0.02
3701.38,3698.47,158144.91,24919423.43,158181.66,24923263.29,0.02,0.02
3701.39,3698.48,158152.73,24921006.46,158188.56,24924844.03,0.02,0.02
3701.4,3698.49,158160.73,24922589.56,158195.47,24926424.78,0.02,0.02
3701.41,3698.5,158167.59,24924172.75,158202.38,24928005.52,0.02,0.02
3701.42,3698.51,158174.4,24925756,158209.28,24929586.26,0.02,0.02
3701.43,3698.52,158181.24,24927339.33,158216.19,24931167,0.02,0.02
3701.44,3698.53,158188.13,24928922.72,158223.07,24932746.19,0.02,0.02
3701.45,3698.54,158194.98,24930506.18,158230.04,24934331.15,0.02,0.02
3701.46,3698.55,158201.82,24932089.71,158237,24935916.11,0.02,0.02
3701.47,3698.56,158208.73,24933673.3,158243.97,24937501.07,0.02,0.02
3701.48,3698.57,158215.6,24935256.97,158250.93,24939086.03,0.02,0.02
3701.49,3698.58,158222.47,24936840.71,158257.89,24940670.99,0.02,0.02
3701.5,3698.59,158229.32,24938424.51,158264.86,24942255.95,0.02,0.02
3701.51,3698.6,158236.1,24940008.38,158271.82,24943840.9,0.02,0.02
3701.52,3698.61,158242.83,24941592.32,158278.79,24945425.86,0.02,0.02
3701.53,3698.62,158252.53,24943176.33,158285.75,24947010.82,0.02,0.02
3701.54,3698.63,158259.32,24944760.43,158292.71,24948595.78,0.02,0.02
3701.55,3698.64,158266.12,24946344.61,158299.68,24950180.74,0.02,0.02
3701.56,3698.65,158272.96,24947928.85,158306.64,24951765.7,0.02,0.02
3701.57,3698.66,158279.79,24949513.16,158313.61,24953350.66,0.02,0.02
3701.58,3698.67,158286.59,24951097.53,158320.57,24954935.62,0.02,0.02
3701.59,3698.68,158293.41,24952681.98,158327.53,24956520.58,0.02,0.02
3701.6,3698.69,158300.32,24954266.49,158334.5,24958105.54,0.02,0.02
3701.61,3698.7,158307.14,24955851.08,158341.46,24959690.5,0.02,0.02
3701.62,3698.71,158314.01,24957435.73,158348.43,24961275.46,0.02,0.02
3701.63,3698.72,158320.57,24958981.79,158355.39,24962860.42,0.02,0.02
3701.64,3698.73,158327.38,24960566.58,158362.35,24964445.38,0.02,0.02
3701.65,3698.74,158334.21,24962151.43,158369.32,24966030.34,0.02,0.02
